１６年分,,,,,,,,,,,
日付,出現,確率,閾値40,閾値50,閾値60,,,,,,
2008/9/23,無,30%,適中なし,適中なし,適中なし,強風で7:15営業中止,,,,,
2008/9/24,無,50%,空振り,空振り,適中なし,雨天中止,,,,,
2008/9/25,無,40%,空振り,適中なし,適中なし,強風の為中止,,,,,
2008/9/26,無,30%,適中なし,適中なし,適中なし,視界不良の為中止,,,,,
2008/9/27,無,30%,適中なし,適中なし,適中なし,悪天候の為中止（山頂は雪です！）,,,,,
2008/9/28,無,30%,適中なし,適中なし,適中なし,悪天候の為中止、雪が残っていた。,,,,,
2008/9/29,無,40%,空振り,適中なし,適中なし,上トマム～駅にかけて低い雲有りAM7:00頃消える。,,,,,
2008/9/30,無,40%,空振り,適中なし,適中なし,上トマム～駅にかけて低い雲有りAM7:00頃消える。,,,,,
2009/6/20,有り,50%,適中,適中,見逃し,十勝上空は雲海出る。,,,,,
2009/6/21,無し,50%,空振り,空振り,適中なし,ガスの中、視界50m。,,,,,
2009/6/22,無し,60%,空振り,空振り,空振り,ガスの中、視界30m。,,,,,
2009/6/23,無し,30%,適中なし,適中なし,適中なし,雨で中止。,,,,,
2009/6/24,無し,50%,空振り,空振り,適中なし,ガスの中、視界50～100m。,,,,,
